sub_H,sub_B,pka_H,dipole_H,homo_H,lumo_H,electronegativity_H,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,pka_B,delta_G_B,delta_G_B_TS,dipole_B,homo_B,lumo_B,electronegativity_B,yield
S23,1c,40.8,1.1619,-0.27457,0.01369,0.13044,-0.029516,-0.154607,-0.26422,0.020362,0.070051,0.24318,-8.5974,-9.4722,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,77
S23,1d,40.8,1.1619,-0.27457,0.01369,0.13044,-0.029516,-0.154607,-0.26422,0.020362,0.070051,0.24318,-8.5974,-9.4722,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,4
S25,1c,37.7,2.5042,-0.25226,0.02648,0.11289,-0.038596,-0.059987,-0.24982,0.019606,0.063744,0.2418,-9.881,-9.7809,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,96
S25,1d,37.7,2.5042,-0.25226,0.02648,0.11289,-0.038596,-0.059987,-0.24982,0.019606,0.063744,0.2418,-9.881,-9.7809,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,2
S26,1c,37.6,1.3781,-0.26485,0.0359,0.114475,-0.134144,-0.313679,-0.36945,0.002872,0.079456,0.24517,-9.4842,-9.3368,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,21
S26,1d,37.6,1.3781,-0.26485,0.0359,0.114475,-0.134144,-0.313679,-0.36945,0.002872,0.079456,0.24517,-9.4842,-9.3368,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,2
S27,1a,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,35,14.2,18.9,1.4392,-0.28457,0.0299,0.127335,5
S27,1b,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,35.8,9.7,16,1.0548,-0.28379,0.03702,0.123385,4
S27,1c,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,60
S27,1d,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,6
